conc,ch1
348.5,1.6811073065204079
349.5,1.6811138748621945
350.5,1.681120379802645
351.5,1.6811268221316267
352.5,1.6811332026269652
353.5,1.6811395220546603
354.5,1.6811457811690989
355.5,1.6811519807132629
356.5,1.6811581214189335
357.5,1.6811642040068897
358.5,1.681170229187105
359.5,1.6811761976589374
360.5,1.6811821101113185
361.5,1.681187967222936
362.5,1.6811937696624146
363.5,1.6811995180884916
364.5,1.68120521315019
365.5,1.6812108554869882
366.5,1.681216445728985
367.5,1.681221984497063
368.5,1.6812274724030476
369.5,1.681232910049863
370.5,1.6812382980316858
371.5,1.6812436369340942
372.5,1.6812489273342155
373.5,1.6812541698008705
374.5,1.6812593648947147
375.5,1.6812645131683759
376.5,1.6812696151665918
377.5,1.6812746714263413
378.5,1.681279682476977
379.5,1.6812846488403508
380.5,1.6812895710309423
381.5,1.68129444955598
382.5,1.6812992849155628
383.5,1.681304077602778
384.5,1.6813088281038178
385.5,1.6813135368980936
386.5,1.6813182044583475
387.5,1.6813228312507613
388.5,1.6813274177350657
389.5,1.6813319643646438
390.5,1.6813364715866368
391.5,1.6813409398420438
392.5,1.6813453695658227
393.5,1.6813497611869874
394.5,1.681354115128704
395.5,1.6813584318083854
396.5,1.681362711637783
397.5,1.681366955023078
398.5,1.681371162364971
399.5,1.6813753340587678
400.5,1.6813794704944673
401.5,1.6813835720568437
402.5,1.681387639125531
403.5,1.681391672075103
404.5,1.6813956712751539
405.5,1.6813996370903757
406.5,1.6814035698806353
407.5,1.6814074700010513
408.5,1.6814113378020654
409.5,1.681415173629518
410.5,1.6814189778247177
411.5,1.6814227507245125
412.5,1.6814264926613582
413.5,1.6814302039633866
414.5,1.6814338849544714
415.5,1.6814375359542943
416.5,1.681441157278408
417.5,1.681444749238301
418.5,1.6814483121414574
419.5,1.6814518462914192
420.5,1.681455351987846
421.5,1.6814588295265727
422.5,1.6814622791996685
423.5,1.6814657012954928
424.5,1.681469096098751
425.5,1.6814724638905496
426.5,1.6814758049484493
427.5,1.6814791195465184
428.5,1.6814824079553852
429.5,1.6814856704422878
430.5,1.6814889072711254
431.5,1.6814921187025074
432.5,1.6814953049938015
433.5,1.6814984663991819
434.5,1.6815016031696755
435.5,1.6815047155532088
436.5,1.6815078037946525
437.5,1.6815108681358666
438.5,1.6815139088157436
439.5,1.6815169260702518
440.5,1.6815199201324778
441.5,1.6815228912326678
442.5,1.681525839598269
443.5,1.6815287654539695
444.5,1.6815316690217375
445.5,1.681534550520861
446.5,1.6815374101679856
447.5,1.6815402481771524
448.5,1.6815430647598348
449.5,1.681545860124975
450.5,1.6815486344790203
451.5,1.6815513880259567
452.5,1.6815541209673464
453.5,1.681556833502359
454.5,1.6815595258278069
455.5,1.6815621981381774
456.5,1.681564850625666
457.5,1.6815674834802075
458.5,1.6815700968895078
459.5,1.6815726910390747
460.5,1.6815752661122492
461.5,1.6815778222902336
462.5,1.6815803597521228
463.5,1.6815828786749327
464.5,1.6815853792336284
465.5,1.6815878616011524
466.5,1.6815903259484526
467.5,1.6815927724445094
468.5,1.681595201256362
469.5,1.6815976125491354
470.5,1.6816000064860661
471.5,1.6816023832285278
472.5,1.681604742936056
473.5,1.6816070857663736
474.5,1.6816094118754146
475.5,1.6816117214173478
476.5,1.6816140145446017
477.5,1.681616291407887
478.5,1.6816185521562186
479.5,1.6816207969369399
480.5,1.6816230258957439
481.5,1.681625239176695
482.5,1.681627436922251
483.5,1.6816296192732845
484.5,1.6816317863691026
485.5,1.6816339383474688
486.5,1.6816360753446222
487.5,1.681638197495299
488.5,1.6816403049327493
489.5,1.68164239778876
490.5,1.681644476193671
491.5,1.6816465402763952
492.5,1.6816485901644367
493.5,1.6816506259839097
494.5,1.6816526478595553
495.5,1.6816546559147594
496.5,1.6816566502715715
497.5,1.68165863105072
498.5,1.6816605983716297
499.5,1.6816625523524393
500.5,1.6816644931100164
501.5,1.6816664207599752
502.5,1.6816683354166906
503.5,1.6816702371933159
504.5,1.6816721262017962
505.5,1.6816740025528858
506.5,1.681675866356161
507.5,1.681677717720037
508.5,1.6816795567517806
509.5,1.6816813835575262
510.5,1.6816831982422882
511.5,1.6816850009099773
512.5,1.6816867916634115
513.5,1.681688570604332
514.5,1.6816903378334156
515.5,1.6816920934502875
516.5,1.6816938375535344
517.5,1.6816955702407186
518.5,1.6816972916083888
519.5,1.6816990017520936
520.5,1.6817007007663936
521.5,1.6817023887448728
522.5,1.681704065780152
523.5,1.681705731963899
524.5,1.6817073873868411
525.5,1.6817090321387764
526.5,1.6817106663085846
527.5,1.6817122899842383
528.5,1.6817139032528148
529.5,1.6817155062005056
530.5,1.6817170989126276
531.5,1.6817186814736336
532.5,1.6817202539671232
533.5,1.6817218164758518
534.5,1.6817233690817421
535.5,1.6817249118658926
